seed,sample_size,language,runtime_min,peak_memory_MB
21,500,Julia,0.78,877.2
21,500,R,0.08,392.93
seed,sample_size,language,runtime_min,peak_memory_MB
20,500,Julia,0.79,862.57
20,500,R,0.08,383.98
seed,sample_size,language,runtime_min,peak_memory_MB
13,500,Julia,0.83,872.11
13,500,R,0.08,390.81
seed,sample_size,language,runtime_min,peak_memory_MB
12,500,Julia,0.83,844.93
12,500,R,0.08,384.07
seed,sample_size,language,runtime_min,peak_memory_MB
14,500,Julia,0.85,875.8
14,500,R,0.09,383.33
seed,sample_size,language,runtime_min,peak_memory_MB
11,500,Julia,0.84,863.14
11,500,R,0.08,382.83
seed,sample_size,language,runtime_min,peak_memory_MB
35,500,Julia,0.87,865.71
35,500,R,0.09,390.84
seed,sample_size,language,runtime_min,peak_memory_MB
34,500,Julia,0.88,904.16
34,500,R,0.09,379.3
seed,sample_size,language,runtime_min,peak_memory_MB
70,500,Julia,0.87,907.33
70,500,R,0.11,391.34
seed,sample_size,language,runtime_min,peak_memory_MB
33,500,Julia,0.88,899.05
33,500,R,0.09,383.8
seed,sample_size,language,runtime_min,peak_memory_MB
71,500,Julia,0.87,898.7
71,500,R,0.11,379.76
seed,sample_size,language,runtime_min,peak_memory_MB
51,500,Julia,0.88,899.57
51,500,R,0.09,391.2
seed,sample_size,language,runtime_min,peak_memory_MB
53,500,Julia,0.88,874.27
53,500,R,0.09,385.34
seed,sample_size,language,runtime_min,peak_memory_MB
52,500,Julia,0.88,862.5
52,500,R,0.09,391.6
seed,sample_size,language,runtime_min,peak_memory_MB
50,500,Julia,0.89,885.72
50,500,R,0.09,384.04
seed,sample_size,language,runtime_min,peak_memory_MB
69,500,Julia,0.9,855.26
69,500,R,0.11,390.51
seed,sample_size,language,runtime_min,peak_memory_MB
49,500,Julia,0.91,892.68
49,500,R,0.09,391.0
seed,sample_size,language,runtime_min,peak_memory_MB
43,500,Julia,0.97,848.93
43,500,R,0.1,391.59
seed,sample_size,language,runtime_min,peak_memory_MB
46,500,Julia,0.97,939.61
46,500,R,0.1,392.84
seed,sample_size,language,runtime_min,peak_memory_MB
48,500,Julia,0.97,935.43
48,500,R,0.1,383.85
seed,sample_size,language,runtime_min,peak_memory_MB
41,500,Julia,0.97,959.95
41,500,R,0.1,383.72
seed,sample_size,language,runtime_min,peak_memory_MB
40,500,Julia,0.97,882.93
40,500,R,0.1,390.01
seed,sample_size,language,runtime_min,peak_memory_MB
44,500,Julia,0.97,963.54
44,500,R,0.1,390.54
seed,sample_size,language,runtime_min,peak_memory_MB
47,500,Julia,0.97,857.96
47,500,R,0.1,390.8
seed,sample_size,language,runtime_min,peak_memory_MB
45,500,Julia,0.97,859.3
45,500,R,0.1,390.5
seed,sample_size,language,runtime_min,peak_memory_MB
42,500,Julia,0.98,925.39
42,500,R,0.11,390.57
seed,sample_size,language,runtime_min,peak_memory_MB
15,500,Julia,1.01,864.36
15,500,R,0.11,384.19
seed,sample_size,language,runtime_min,peak_memory_MB
76,500,Julia,1.02,960.46
76,500,R,0.11,390.77
seed,sample_size,language,runtime_min,peak_memory_MB
86,500,Julia,1.02,867.03
86,500,R,0.11,393.23
seed,sample_size,language,runtime_min,peak_memory_MB
74,500,Julia,1.02,957.97
74,500,R,0.11,390.86
seed,sample_size,language,runtime_min,peak_memory_MB
88,500,Julia,1.02,863.53
88,500,R,0.11,383.09
seed,sample_size,language,runtime_min,peak_memory_MB
75,500,Julia,1.01,961.08
75,500,R,0.11,389.84
seed,sample_size,language,runtime_min,peak_memory_MB
80,500,Julia,1.02,870.14
80,500,R,0.11,391.91
seed,sample_size,language,runtime_min,peak_memory_MB
81,500,Julia,1.02,869.76
81,500,R,0.11,378.35
seed,sample_size,language,runtime_min,peak_memory_MB
79,500,Julia,1.02,874.02
79,500,R,0.11,390.48
seed,sample_size,language,runtime_min,peak_memory_MB
73,500,Julia,1.03,866.27
73,500,R,0.11,390.35
seed,sample_size,language,runtime_min,peak_memory_MB
89,500,Julia,1.02,954.24
89,500,R,0.11,386.32
seed,sample_size,language,runtime_min,peak_memory_MB
82,500,Julia,1.03,881.91
82,500,R,0.11,390.0
seed,sample_size,language,runtime_min,peak_memory_MB
78,500,Julia,1.03,954.57
78,500,R,0.11,383.86
seed,sample_size,language,runtime_min,peak_memory_MB
72,500,Julia,1.03,875.34
72,500,R,0.11,389.88
seed,sample_size,language,runtime_min,peak_memory_MB
77,500,Julia,1.03,952.27
77,500,R,0.11,390.21
seed,sample_size,language,runtime_min,peak_memory_MB
87,500,Julia,1.03,894.88
87,500,R,0.11,390.72
seed,sample_size,language,runtime_min,peak_memory_MB
83,500,Julia,1.03,862.35
83,500,R,0.11,383.72
seed,sample_size,language,runtime_min,peak_memory_MB
85,500,Julia,1.03,958.35
85,500,R,0.11,389.89
seed,sample_size,language,runtime_min,peak_memory_MB
84,500,Julia,1.04,928.25
84,500,R,0.12,384.21
seed,sample_size,language,runtime_min,peak_memory_MB
19,500,Julia,1.04,907.05
19,500,R,0.11,383.91
seed,sample_size,language,runtime_min,peak_memory_MB
18,500,Julia,1.06,877.76
18,500,R,0.11,385.48
seed,sample_size,language,runtime_min,peak_memory_MB
67,500,Julia,1.1,884.16
67,500,R,0.11,390.44
seed,sample_size,language,runtime_min,peak_memory_MB
61,500,Julia,1.1,863.2
61,500,R,0.12,391.42
seed,sample_size,language,runtime_min,peak_memory_MB
55,500,Julia,1.1,876.43
55,500,R,0.12,387.34
seed,sample_size,language,runtime_min,peak_memory_MB
62,500,Julia,1.1,888.78
62,500,R,0.12,390.0
seed,sample_size,language,runtime_min,peak_memory_MB
65,500,Julia,1.1,886.03
65,500,R,0.12,389.73
seed,sample_size,language,runtime_min,peak_memory_MB
59,500,Julia,1.11,865.7
59,500,R,0.12,391.07
seed,sample_size,language,runtime_min,peak_memory_MB
58,500,Julia,1.11,885.19
58,500,R,0.12,390.13
seed,sample_size,language,runtime_min,peak_memory_MB
56,500,Julia,1.11,891.13
56,500,R,0.12,389.81
seed,sample_size,language,runtime_min,peak_memory_MB
68,500,Julia,1.11,880.41
68,500,R,0.13,384.54
seed,sample_size,language,runtime_min,peak_memory_MB
63,500,Julia,1.11,862.97
63,500,R,0.12,384.4
seed,sample_size,language,runtime_min,peak_memory_MB
54,500,Julia,1.11,863.87
54,500,R,0.12,383.77
seed,sample_size,language,runtime_min,peak_memory_MB
64,500,Julia,1.11,861.32
64,500,R,0.12,378.77
seed,sample_size,language,runtime_min,peak_memory_MB
60,500,Julia,1.12,861.38
60,500,R,0.12,390.41
seed,sample_size,language,runtime_min,peak_memory_MB
66,500,Julia,1.11,890.97
66,500,R,0.12,390.12
seed,sample_size,language,runtime_min,peak_memory_MB
57,500,Julia,1.12,874.55
57,500,R,0.13,390.23
seed,sample_size,language,runtime_min,peak_memory_MB
38,500,Julia,1.12,908.63
38,500,R,0.12,391.31
seed,sample_size,language,runtime_min,peak_memory_MB
37,500,Julia,1.13,905.13
37,500,R,0.12,390.34
seed,sample_size,language,runtime_min,peak_memory_MB
39,500,Julia,1.14,904.46
39,500,R,0.12,389.63
seed,sample_size,language,runtime_min,peak_memory_MB
94,500,Julia,1.05,845.16
94,500,R,0.06,391.34
seed,sample_size,language,runtime_min,peak_memory_MB
99,500,Julia,1.05,852.04
99,500,R,0.06,390.67
seed,sample_size,language,runtime_min,peak_memory_MB
96,500,Julia,1.05,829.64
96,500,R,0.06,384.3
seed,sample_size,language,runtime_min,peak_memory_MB
93,500,Julia,1.05,819.2
93,500,R,0.05,390.14
seed,sample_size,language,runtime_min,peak_memory_MB
95,500,Julia,1.05,834.42
95,500,R,0.05,390.12
seed,sample_size,language,runtime_min,peak_memory_MB
97,500,Julia,1.06,852.18
97,500,R,0.06,382.96
seed,sample_size,language,runtime_min,peak_memory_MB
98,500,Julia,1.06,820.18
98,500,R,0.06,378.17
seed,sample_size,language,runtime_min,peak_memory_MB
90,500,Julia,1.06,816.64
90,500,R,0.05,393.02
seed,sample_size,language,runtime_min,peak_memory_MB
100,500,Julia,1.06,835.08
100,500,R,0.06,384.4
seed,sample_size,language,runtime_min,peak_memory_MB
92,500,Julia,1.06,820.35
92,500,R,0.06,383.61
seed,sample_size,language,runtime_min,peak_memory_MB
91,500,Julia,1.06,848.09
91,500,R,0.06,384.89
seed,sample_size,language,runtime_min,peak_memory_MB
36,500,Julia,1.16,902.64
36,500,R,0.12,390.88
seed,sample_size,language,runtime_min,peak_memory_MB
26,500,Julia,1.16,911.29
26,500,R,0.06,383.71
seed,sample_size,language,runtime_min,peak_memory_MB
27,500,Julia,1.19,937.76
27,500,R,0.06,389.77
seed,sample_size,language,runtime_min,peak_memory_MB
28,500,Julia,1.24,846.52
28,500,R,0.06,390.59
seed,sample_size,language,runtime_min,peak_memory_MB
29,500,Julia,1.24,842.83
29,500,R,0.06,390.64
seed,sample_size,language,runtime_min,peak_memory_MB
9,500,Julia,1.27,846.01
9,500,R,0.06,379.15
seed,sample_size,language,runtime_min,peak_memory_MB
31,500,Julia,1.27,824.68
31,500,R,0.06,383.39
seed,sample_size,language,runtime_min,peak_memory_MB
32,500,Julia,1.27,857.18
32,500,R,0.06,384.18
seed,sample_size,language,runtime_min,peak_memory_MB
10,500,Julia,1.27,867.54
10,500,R,0.06,386.69
seed,sample_size,language,runtime_min,peak_memory_MB
30,500,Julia,1.27,845.91
30,500,R,0.06,390.27
seed,sample_size,language,runtime_min,peak_memory_MB
3,500,Julia,1.29,877.4
3,500,R,0.06,380.14
seed,sample_size,language,runtime_min,peak_memory_MB
4,500,Julia,1.3,819.82
4,500,R,0.06,383.73
seed,sample_size,language,runtime_min,peak_memory_MB
24,500,Julia,1.33,828.32
24,500,R,0.06,390.05
seed,sample_size,language,runtime_min,peak_memory_MB
25,500,Julia,1.34,875.28
25,500,R,0.06,383.96
seed,sample_size,language,runtime_min,peak_memory_MB
23,500,Julia,1.34,867.84
23,500,R,0.06,383.98
seed,sample_size,language,runtime_min,peak_memory_MB
16,500,Julia,1.35,884.06
16,500,R,0.07,383.31
seed,sample_size,language,runtime_min,peak_memory_MB
17,500,Julia,1.35,886.75
17,500,R,0.07,384.05
seed,sample_size,language,runtime_min,peak_memory_MB
22,500,Julia,1.35,959.82
22,500,R,0.06,383.79
seed,sample_size,language,runtime_min,peak_memory_MB
8,500,Julia,1.36,908.05
8,500,R,0.07,378.79
seed,sample_size,language,runtime_min,peak_memory_MB
1,500,Julia,1.5,812.63
1,500,R,0.07,383.87
seed,sample_size,language,runtime_min,peak_memory_MB
2,500,Julia,1.6,848.69
2,500,R,0.08,390.14
seed,sample_size,language,runtime_min,peak_memory_MB
6,500,Julia,1.62,854.55
6,500,R,0.08,383.71
seed,sample_size,language,runtime_min,peak_memory_MB
5,500,Julia,1.72,847.03
5,500,R,0.09,390.7
seed,sample_size,language,runtime_min,peak_memory_MB
7,500,Julia,1.73,844.4
7,500,R,0.09,383.13
93,5000,Julia,1.65,1010.66
93,5000,R,0.17,548.53
96,5000,Julia,1.66,1012.29
96,5000,R,0.17,570.14
92,5000,Julia,1.68,1004.54
92,5000,R,0.17,569.67
95,5000,Julia,1.69,987.85
95,5000,R,0.17,548.43
90,5000,Julia,1.69,995.25
90,5000,R,0.17,569.88
97,5000,Julia,1.69,995.65
97,5000,R,0.17,570.07
94,5000,Julia,1.69,1013.75
94,5000,R,0.17,552.28
98,5000,Julia,1.74,997.31
98,5000,R,0.17,569.8
99,5000,Julia,1.75,1004.34
99,5000,R,0.17,547.37
91,5000,Julia,1.77,1003.43
91,5000,R,0.17,570.17
100,5000,Julia,1.78,990.27
100,5000,R,0.17,569.15
21,5000,Julia,2.26,1009.22
21,5000,R,0.24,547.46
20,5000,Julia,2.29,1006.92
20,5000,R,0.24,570.19
11,5000,Julia,2.25,1046.85
11,5000,R,0.25,546.92
12,5000,Julia,2.27,1071.57
12,5000,R,0.25,570.42
13,5000,Julia,2.3,1053.98
13,5000,R,0.24,569.53
14,5000,Julia,2.33,1061.82
14,5000,R,0.26,570.17
71,5000,Julia,2.43,1049.53
71,5000,R,0.27,553.58
34,5000,Julia,2.44,1050.97
34,5000,R,0.27,572.46
35,5000,Julia,2.47,1072.67
35,5000,R,0.27,551.21
52,5000,Julia,2.47,1058.23
52,5000,R,0.27,546.89
50,5000,Julia,2.48,1031.77
50,5000,R,0.27,570.05
70,5000,Julia,2.51,1053.64
70,5000,R,0.27,555.64
53,5000,Julia,2.5,1069.05
53,5000,R,0.27,561.48
26,5000,Julia,2.14,997.51
26,5000,R,0.24,571.76
33,5000,Julia,2.53,1053.71
33,5000,R,0.27,563.54
51,5000,Julia,2.54,1048.01
51,5000,R,0.27,570.3
69,5000,Julia,2.56,1047.84
69,5000,R,0.29,570.04
49,5000,Julia,2.56,1052.77
49,5000,R,0.29,565.67
27,5000,Julia,2.22,1013.72
27,5000,R,0.24,570.04
46,5000,Julia,2.71,1060.43
46,5000,R,0.3,570.17
45,5000,Julia,2.71,1056.95
45,5000,R,0.3,570.49
41,5000,Julia,2.72,1045.32
41,5000,R,0.3,570.67
47,5000,Julia,2.72,1062.95
47,5000,R,0.3,559.89
48,5000,Julia,2.73,1052.14
48,5000,R,0.3,570.21
9,5000,Julia,2.33,1060.82
9,5000,R,0.25,547.14
43,5000,Julia,2.76,1039.1
43,5000,R,0.3,570.16
42,5000,Julia,2.75,1047.91
42,5000,R,0.3,563.57
4,5000,Julia,2.35,1044.96
4,5000,R,0.27,569.87
3,5000,Julia,2.36,1094.07
3,5000,R,0.27,569.67
29,5000,Julia,2.42,1048.21
29,5000,R,0.25,557.22
28,5000,Julia,2.43,1049.46
28,5000,R,0.25,568.95
32,5000,Julia,2.4,1060.91
32,5000,R,0.27,569.88
31,5000,Julia,2.4,1065.36
31,5000,R,0.26,548.12
44,5000,Julia,2.81,1055.37
44,5000,R,0.3,570.02
10,5000,Julia,2.42,1063.36
10,5000,R,0.25,552.95
40,5000,Julia,2.82,1050.67
40,5000,R,0.3,570.15
15,5000,Julia,2.83,1018.37
15,5000,R,0.32,570.01
30,5000,Julia,2.49,1046.42
30,5000,R,0.27,472.09
88,5000,Julia,2.87,1024.72
88,5000,R,0.32,485.83
74,5000,Julia,2.88,1036.62
74,5000,R,0.33,570.14
81,5000,Julia,2.88,1039.86
81,5000,R,0.32,570.05
78,5000,Julia,2.88,1025.33
78,5000,R,0.33,570.27
23,5000,Julia,2.46,1066.08
23,5000,R,0.28,548.74
80,5000,Julia,2.89,1062.25
80,5000,R,0.32,570.07
73,5000,Julia,2.9,1048.82
73,5000,R,0.33,569.4
87,5000,Julia,2.92,994.86
87,5000,R,0.33,558.27
72,5000,Julia,2.94,1040.4
72,5000,R,0.33,562.09
22,5000,Julia,2.51,1029.9
22,5000,R,0.27,570.52
77,5000,Julia,2.94,1004.29
77,5000,R,0.33,569.36
75,5000,Julia,2.97,1050.33
75,5000,R,0.32,571.86
76,5000,Julia,2.98,1066.05
76,5000,R,0.32,569.84
86,5000,Julia,2.98,1027.75
86,5000,R,0.32,558.92
24,5000,Julia,2.57,1036.4
24,5000,R,0.28,562.69
19,5000,Julia,2.96,1015.11
19,5000,R,0.32,549.55
89,5000,Julia,2.99,1051.8
89,5000,R,0.32,561.87
83,5000,Julia,2.98,1033.39
83,5000,R,0.32,569.14
8,5000,Julia,2.56,999.86
8,5000,R,0.27,569.79
79,5000,Julia,3.01,1035.35
79,5000,R,0.33,556.8
85,5000,Julia,3.0,1032.9
85,5000,R,0.33,569.78
25,5000,Julia,2.59,1038.6
25,5000,R,0.28,569.24
82,5000,Julia,3.01,1036.82
82,5000,R,0.33,570.23
18,5000,Julia,2.99,990.19
18,5000,R,0.32,558.14
84,5000,Julia,3.01,998.7
84,5000,R,0.32,560.38
68,5000,Julia,3.02,1008.5
68,5000,R,0.34,568.55
38,5000,Julia,3.02,1071.43
38,5000,R,0.32,552.34
54,5000,Julia,3.04,1010.48
54,5000,R,0.34,570.28
58,5000,Julia,3.05,1006.0
58,5000,R,0.34,569.7
56,5000,Julia,3.05,1044.87
56,5000,R,0.34,570.16
61,5000,Julia,3.06,1066.32
61,5000,R,0.34,570.4
55,5000,Julia,3.06,1028.39
55,5000,R,0.34,569.62
17,5000,Julia,2.74,1052.23
17,5000,R,0.29,564.14
67,5000,Julia,3.1,1000.25
67,5000,R,0.33,569.68
16,5000,Julia,2.76,1038.46
16,5000,R,0.29,569.79
64,5000,Julia,3.09,999.86
64,5000,R,0.34,569.7
62,5000,Julia,3.11,997.82
62,5000,R,0.34,565.49
57,5000,Julia,3.1,1007.78
57,5000,R,0.34,559.07
59,5000,Julia,3.14,995.77
59,5000,R,0.34,570.53
65,5000,Julia,3.14,1031.33
65,5000,R,0.34,560.22
63,5000,Julia,3.14,986.84
63,5000,R,0.34,570.16
60,5000,Julia,3.14,1050.36
60,5000,R,0.34,559.94
66,5000,Julia,3.16,996.81
66,5000,R,0.34,562.83
39,5000,Julia,3.13,1073.76
39,5000,R,0.33,563.56
37,5000,Julia,3.18,1075.49
37,5000,R,0.33,570.24
36,5000,Julia,3.23,1076.27
36,5000,R,0.34,562.38
1,5000,Julia,2.95,1005.79
1,5000,R,0.35,561.91
6,5000,Julia,3.17,981.27
6,5000,R,0.39,570.09
2,5000,Julia,3.24,1019.54
2,5000,R,0.38,569.75
7,5000,Julia,3.46,1040.66
7,5000,R,0.4,559.38
5,5000,Julia,3.48,1012.8
5,5000,R,0.4,561.88
98,50000,Julia,84.73,1772.35
98,50000,R,1.48,905.3
96,50000,Julia,84.85,1776.53
96,50000,R,1.48,879.59
90,50000,Julia,85.16,1776.12
90,50000,R,1.49,903.66
94,50000,Julia,87.79,1772.18
94,50000,R,1.45,908.06
91,50000,Julia,87.82,1804.95
91,50000,R,1.46,875.66
97,50000,Julia,94.42,1794.86
97,50000,R,1.43,863.97
100,50000,Julia,94.61,1751.51
100,50000,R,1.45,875.08
93,50000,Julia,95.16,1796.27
93,50000,R,1.44,883.52
95,50000,Julia,95.36,1770.22
95,50000,R,1.45,863.69
92,50000,Julia,96.19,1786.94
92,50000,R,1.45,839.12
99,50000,Julia,96.34,1782.16
99,50000,R,1.44,902.15
13,50000,Julia,105.69,1753.62
13,50000,R,2.21,901.18
29,50000,Julia,105.66,1782.72
29,50000,R,2.25,883.09
28,50000,Julia,106.18,1752.31
28,50000,R,2.28,882.63
26,50000,Julia,107.04,1783.13
26,50000,R,2.23,851.11
11,50000,Julia,107.46,1794.51
11,50000,R,2.13,944.48
9,50000,Julia,108.09,1768.75
9,50000,R,2.18,858.7
10,50000,Julia,108.0,1773.81
10,50000,R,2.2,903.61
31,50000,Julia,108.13,1753.98
31,50000,R,2.23,883.8
27,50000,Julia,111.53,1786.91
27,50000,R,2.1,854.71
14,50000,Julia,111.97,1783.61
14,50000,R,2.24,852.04
21,50000,Julia,112.18,1749.11
21,50000,R,2.06,961.99
25,50000,Julia,111.87,1741.86
25,50000,R,2.32,943.55
23,50000,Julia,112.11,1755.54
23,50000,R,2.33,903.89
20,50000,Julia,113.42,1821.77
20,50000,R,2.1,903.91
4,50000,Julia,112.97,1819.0
4,50000,R,2.15,851.48
22,50000,Julia,112.85,1750.52
22,50000,R,2.12,866.56
12,50000,Julia,114.0,1796.94
12,50000,R,2.13,883.66
3,50000,Julia,113.37,1757.14
3,50000,R,2.14,911.18
8,50000,Julia,113.92,1798.1
8,50000,R,2.28,883.49
32,50000,Julia,114.83,1735.13
32,50000,R,2.28,903.04
30,50000,Julia,115.58,1735.75
30,50000,R,2.25,861.59
52,50000,Julia,117.36,1821.22
52,50000,R,2.31,884.09
50,50000,Julia,117.69,1789.8
50,50000,R,2.32,931.25
35,50000,Julia,118.72,1863.44
35,50000,R,2.29,903.7
33,50000,Julia,118.83,1819.4
33,50000,R,2.31,898.04
51,50000,Julia,118.99,1778.69
51,50000,R,2.32,855.49
24,50000,Julia,119.21,1787.79
24,50000,R,2.33,858.51
37,50000,Julia,121.52,1730.65
37,50000,R,2.63,875.58
18,50000,Julia,121.87,1752.08
18,50000,R,2.88,856.18
46,50000,Julia,122.42,1816.17
46,50000,R,2.49,876.0
39,50000,Julia,121.86,1782.21
39,50000,R,2.59,911.76
44,50000,Julia,122.64,1799.63
44,50000,R,2.51,876.34
40,50000,Julia,122.81,1839.12
40,50000,R,2.51,881.62
71,50000,Julia,123.32,1809.17
71,50000,R,2.33,854.3
70,50000,Julia,123.25,1801.25
70,50000,R,2.31,865.04
69,50000,Julia,123.33,1778.06
69,50000,R,2.43,876.04
38,50000,Julia,123.09,1829.12
38,50000,R,2.63,904.27
66,50000,Julia,123.51,1770.96
66,50000,R,2.81,895.29
62,50000,Julia,123.8,1796.04
62,50000,R,2.8,903.21
68,50000,Julia,124.01,1770.83
68,50000,R,2.8,903.33
60,50000,Julia,124.03,1729.24
60,50000,R,2.82,991.29
59,50000,Julia,124.13,1822.35
59,50000,R,2.84,1058.98
55,50000,Julia,124.23,1744.27
55,50000,R,2.82,856.47
53,50000,Julia,125.06,1757.95
53,50000,R,2.31,930.71
79,50000,Julia,124.76,1797.46
79,50000,R,2.75,874.94
49,50000,Julia,125.35,1789.69
49,50000,R,2.46,903.36
87,50000,Julia,124.95,1796.4
87,50000,R,2.77,878.32
41,50000,Julia,125.51,1775.97
41,50000,R,2.51,863.66
86,50000,Julia,125.21,1755.67
86,50000,R,2.71,883.86
1,50000,Julia,124.76,1795.54
1,50000,R,3.08,877.48
67,50000,Julia,125.23,1807.66
67,50000,R,2.8,920.67
81,50000,Julia,125.89,1764.38
81,50000,R,2.69,856.23
84,50000,Julia,125.74,1831.14
84,50000,R,2.74,888.71
85,50000,Julia,126.06,1778.72
85,50000,R,2.73,856.27
34,50000,Julia,127.36,1816.03
34,50000,R,2.32,900.29
80,50000,Julia,127.13,1772.03
80,50000,R,2.72,877.5
83,50000,Julia,127.14,1762.69
83,50000,R,2.75,900.34
54,50000,Julia,127.0,1804.33
54,50000,R,2.86,885.73
82,50000,Julia,127.6,1742.54
82,50000,R,2.76,885.59
36,50000,Julia,128.58,1712.12
36,50000,R,2.65,895.05
15,50000,Julia,129.51,1747.38
15,50000,R,2.59,876.45
43,50000,Julia,129.74,1795.75
43,50000,R,2.49,856.24
19,50000,Julia,130.1,1829.69
19,50000,R,2.77,896.12
42,50000,Julia,130.54,1752.27
42,50000,R,2.49,871.54
6,50000,Julia,129.38,1796.07
6,50000,R,3.44,871.63
48,50000,Julia,130.95,1747.29
48,50000,R,2.48,884.0
45,50000,Julia,131.09,1773.73
45,50000,R,2.53,875.68
47,50000,Julia,132.0,1778.78
47,50000,R,2.5,871.52
65,50000,Julia,131.49,1813.48
65,50000,R,2.72,858.34
16,50000,Julia,131.77,1769.41
16,50000,R,2.44,917.56
58,50000,Julia,131.93,1799.64
58,50000,R,2.73,905.91
17,50000,Julia,131.94,1768.66
17,50000,R,2.44,874.14
56,50000,Julia,132.04,1758.17
56,50000,R,2.77,892.38
64,50000,Julia,132.11,1815.73
64,50000,R,2.86,936.7
63,50000,Julia,132.08,1744.15
63,50000,R,2.78,904.15
88,50000,Julia,132.64,1798.21
88,50000,R,2.65,863.88
2,50000,Julia,131.63,1768.21
2,50000,R,3.24,883.57
74,50000,Julia,132.73,1822.19
74,50000,R,2.74,874.76
76,50000,Julia,132.7,1794.65
76,50000,R,2.65,865.42
61,50000,Julia,132.93,1761.65
61,50000,R,2.7,876.28
57,50000,Julia,132.97,1762.25
57,50000,R,2.72,859.89
77,50000,Julia,133.3,1792.91
77,50000,R,2.69,896.32
72,50000,Julia,133.88,1749.23
72,50000,R,2.75,875.86
89,50000,Julia,133.88,1775.72
89,50000,R,2.71,878.67
73,50000,Julia,134.06,1779.93
73,50000,R,2.76,882.93
75,50000,Julia,134.43,1775.91
75,50000,R,2.66,873.28
78,50000,Julia,135.64,1747.67
78,50000,R,2.75,863.91
5,50000,Julia,134.43,1762.52
5,50000,R,3.53,893.2
7,50000,Julia,134.91,1756.09
7,50000,R,3.3,940.12
